cluster,n_instances,sse,sse_avg
0,1,0.0,0.0
1,3,0.1704642924852855,0.0568214308284285
2,55,15.169924311653952,0.2758168056664355
3,1,0.0,0.0
4,14,2.6196083530787773,0.1871148823627698
5,2,0.13062526261308935,0.06531263130654467
6,1,0.0,0.0
7,1,0.0,0.0
8,26,4.998721557095493,0.19225852142674973
9,5,0.0,0.0
10,1,0.0,0.0
11,1,0.0,0.0
12,1,0.0,0.0
13,1,0.0,0.0
14,11,2.1176466991333274,0.19251333628484793
15,22,3.227356647351291,0.1466980294250587
16,10,2.1462529549573177,0.21462529549573178
17,7,1.1833171371889697,0.16904530531270995
18,30,6.640287237734444,0.22134290792448147
19,2,0.20659667367262585,0.10329833683631293
20,32,8.221473195160758,0.2569210373487737
21,1,0.0,0.0
22,65,16.69498926853407,0.25684598874667797
23,9,1.1275008190550506,0.12527786878389452
24,3,0.5799733538281555,0.19332445127605183
25,105,27.218189112955983,0.2592208486948189
26,55,18.232106095182576,0.33149283809422864
27,1,0.0,0.0
28,39,9.79650642330978,0.25119247239255843
29,32,7.147321448025644,0.22335379525080137
30,33,7.707155890361416,0.23355017849580048
31,33,6.8500396382540405,0.20757695873497092
32,54,16.971259401736898,0.31428258151364624
33,117,44.5466050360228,0.3807402139831008
34,55,16.239701831807707,0.2952673060328674
35,71,22.88940849983792,0.3223860352089848
36,25,6.067523176586105,0.2427009270634442
37,1,0.0,0.0
38,15,3.356986229278748,0.22379908195191653
39,48,9.461470633614953,0.19711397153364485
40,234,49.97548292035189,0.21357043983056362
41,237,48.477145452923445,0.20454491752288373
42,38,8.629632982371136,0.22709560479924043
43,45,9.728351234163947,0.21618558298142104
44,40,11.56802652231778,0.2892006630579445
45,16,2.2795110822501057,0.1424694426406316
46,18,3.8634727942818317,0.21463737746010175
47,64,22.145174158292185,0.3460183462233154
48,12,3.4385353769403144,0.2865446147450262
49,15,3.2693827516346716,0.2179588501089781
50,477,90.38112337619658,0.18947824607169095
51,29,10.653083681659101,0.3673477131606587
52,93,26.408509383320226,0.28396246648731427
53,48,14.240075681776435,0.2966682433703424
54,129,22.329455026251196,0.17309655059109455
55,117,25.90122628977817,0.22137800247673647
56,34,11.130870820254039,0.3273785535368835
57,51,13.429758098146328,0.2633285901597319
58,196,44.25121239597401,0.2257714918161939
59,38,9.676277225308146,0.2546388743502144
60,68,23.414668225871505,0.34433335626281625
61,55,21.956845071141093,0.39921536492983806
62,95,23.36378263521661,0.24593455405491166
63,70,18.345318843628217,0.2620759834804031
64,161,46.37805755213952,0.2880624692679474
65,65,21.073945550508604,0.3242145469309016
66,151,26.876932907476583,0.17799293316209658
67,321,68.4133542725665,0.21312571424475543
68,45,11.763508090834407,0.26141129090743126
69,64,19.820074170850415,0.30968865891953773
70,182,42.256918234405134,0.23218086941980842
71,103,32.64109133088012,0.31690379932893326
72,76,17.03526606666299,0.22414823771924988
73,484,106.89431007675475,0.2208560125552784
74,88,38.076798958774695,0.43269089725880333
75,169,45.03647142354324,0.26648799658901323
76,161,55.132129622964115,0.342435587720274
77,122,26.220247400388185,0.21492006065891955
78,148,56.173261609692204,0.37954906493035273
79,173,40.5671710804986,0.234492318384385
80,66,19.52310426859903,0.29580461013028836
81,240,49.37518986245777,0.20572995776024072
82,744,161.02015072238294,0.21642493376664373
83,134,31.708180646006138,0.23662821377616522
84,128,51.89292383820141,0.40541346748594853
85,118,32.15857601700425,0.2725303052288496
86,269,65.146855298812,0.24218161821119702
87,128,34.76970278105117,0.2716383029769623
88,278,74.90425565159806,0.26943976853092827
89,575,106.13188826594453,0.18457719698425135
90,139,40.100570268770966,0.28849331128612205
91,130,39.20380977596647,0.30156776750743436
92,160,38.23946487668426,0.23899665547927662
93,179,53.82818972128162,0.3007161436943107
94,194,58.711758151679625,0.3026379286169053
95,96,34.19722344247191,0.35622107752574905
