cluster,n_instances,sse,sse_avg
0,1,0.0,0.0
1,8,2.9565924199255478,0.36957405249069347
2,1,0.0,0.0
3,1,0.0,0.0
4,2,0.8242203471242804,0.4121101735621402
5,7,2.7393101187294713,0.39133001696135306
6,2,0.852817780463105,0.4264088902315525
7,56,18.122415966342512,0.32361457082754486
8,14,6.3134458904653,0.45096042074752146
9,25,12.202979854161113,0.4881191941664445
10,10,3.8723057127378424,0.38723057127378424
11,38,23.619558434748296,0.6215673272302183
12,37,22.01964512668414,0.5951255439644362
13,9,4.290710747898282,0.4767456386553646
14,143,31.674893392797177,0.22150275099858166
15,12,7.046289123185405,0.5871907602654504
16,19,9.369831129252347,0.4931490068027551
17,70,35.33470338587342,0.5047814769410488
18,59,29.14907591575897,0.4940521341654063
19,33,18.466085820972832,0.559578358211298
20,56,18.295514623397107,0.3267056182749483
21,40,19.52121431279682,0.48803035781992044
22,4,2.259827639785938,0.5649569099464845
23,52,24.973615715124044,0.4802618406754624
24,57,31.891647806413538,0.5595025930949743
25,53,17.168665643684285,0.3239370876166846
26,25,17.828455284502557,0.7131382113801022
27,29,12.487979102875096,0.4306199690646585
28,53,34.221767022789905,0.6456937174111302
29,98,30.430222629320195,0.31051247580938973
30,5,3.186864253775937,0.6373728507551875
31,21,12.863566853084842,0.6125508025278497
32,61,38.62478117750809,0.6331931340575097
33,15,9.613705206624251,0.6409136804416168
34,25,14.282361200686244,0.5712944480274498
35,101,36.22072551217763,0.35862104467502603
36,30,16.19609962711105,0.5398699875703683
37,16,10.276403256468113,0.642275203529257
38,69,59.659579663461464,0.8646315893255284
39,21,12.090926072803784,0.5757583844192278
40,178,116.48137500980263,0.6543897472460822
41,74,42.959380593989444,0.5805321701890466
42,42,28.26226554355421,0.6729110843703383
43,60,27.371491841481433,0.4561915306913572
44,28,21.271476094152458,0.7596955747911592
45,200,127.62435089220634,0.6381217544610317
46,28,18.982309986444108,0.6779396423730039
47,18,9.79353475947405,0.544085264415225
48,27,19.0940890220727,0.7071884822989889
49,25,14.359113139029999,0.5743645255612
50,27,22.38118041386897,0.828932607921073
51,56,43.67027609594392,0.7798263588561414
52,115,81.08008518714671,0.705044219018667
53,6,3.871037941791597,0.6451729902985995
54,8,5.572113912393475,0.6965142390491844
55,31,22.60277530968646,0.7291217841834342
56,49,38.99304910005233,0.7957765122459659
57,45,32.03182551753807,0.7118183448341793
58,44,37.156663047695766,0.8444696147203583
59,94,86.01440967918224,0.9150469114806621
60,207,162.39184302969966,0.7845016571483076
61,126,106.32859731208262,0.8438777564451002
62,328,249.2643172187218,0.7599521866424445
63,210,186.08689113547666,0.8861280530260793
64,20,15.723192446838995,0.7861596223419498
65,90,68.11866186173445,0.7568740206859383
66,93,59.195365683626484,0.6365093084260912
67,99,82.66006611627365,0.8349501627906429
68,437,321.3953823503706,0.7354585408475299
69,82,70.98153065028451,0.8656284225644453
70,165,145.11780977624974,0.8795018774318166
71,111,95.83420868592673,0.8633712494227633
72,48,35.77635600815866,0.745340750169972
73,68,49.71922374774013,0.7311650551138255
74,73,65.56788250945785,0.8981901713624363
75,15,8.484295935529223,0.5656197290352816
76,94,77.89549847515715,0.8286755156931612
77,129,100.6635066322089,0.7803372607147976
78,40,20.2186376527737,0.5054659413193425
79,60,45.604108161425614,0.7600684693570936
80,104,77.7586542812245,0.7476793680886971
81,49,38.48258842109527,0.7853589473692912
82,135,108.04424274412303,0.800327724030541
83,41,30.97223122463724,0.75542027377164
84,104,86.28206176731987,0.8296352093011526
85,396,324.16633208897076,0.8186018487095221
86,292,241.22051271955544,0.8260976462998474
87,329,283.79768134065597,0.8626069341661275
88,29,20.048702890328617,0.6913345824251247
89,401,366.3582552445985,0.9136116090887744
90,475,438.9266449410192,0.924056094612672
91,243,217.87123183057082,0.896589431401526
92,173,145.72055623697943,0.8423153539709793
93,102,82.61981256558501,0.8099981624076962
94,436,387.6058929146488,0.8890043415473596
95,962,930.956856354467,0.9677306199110884
